meta_id,table_name_en,table_name_ko,field_name_en,field_name_ko,table_description,field_description,source_file,created_at,updated_at
19921,TB_STUDENT_PROFILE,학생프로필,source_row_no,원본행번호,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,원본 학생 데이터 문서에서 추출한 행 번호,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19922,TB_STUDENT_PROFILE,학생프로필,student_name,학생명,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,학생 실명,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19923,TB_STUDENT_PROFILE,학생프로필,school_name,학교명,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,재학 또는 출신 고등학교명,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19924,TB_STUDENT_PROFILE,학생프로필,school_sido,학교시도,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,고등학교가 속한 시도,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19925,TB_STUDENT_PROFILE,학생프로필,school_sigungu,학교시군구,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,고등학교가 속한 시군구,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19926,TB_STUDENT_PROFILE,학생프로필,school_address,학교주소,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,고등학교 주소 또는 위치 설명,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19927,TB_STUDENT_PROFILE,학생프로필,residence_sido,거주시도,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,학생 거주지 시도,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19928,TB_STUDENT_PROFILE,학생프로필,residence_sigungu,거주시군구,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,학생 거주지 시군구,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19929,TB_STUDENT_PROFILE,학생프로필,residence_dong,거주읍면동,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,학생 거주지 읍면동,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19930,TB_STUDENT_PROFILE,학생프로필,student_grade,학년,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,학생 현재 학년,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19931,TB_STUDENT_PROFILE,학생프로필,target_major,목표학과,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,학생이 목표로 설정한 지원 학과,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19932,TB_STUDENT_PROFILE,학생프로필,admission_year,입시연도,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,학생이 지원하는 입시 연도,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19933,TB_STUDENT_PROFILE,학생프로필,academic_avg_grade,내신평균등급,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,학생 내신 과목 평균 등급,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19934,TB_STUDENT_PROFILE,학생프로필,record_total_score,학생생활기록부총점,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,학생생활기록부 정량화 규칙으로 계산한 총점,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19935,TB_STUDENT_PROFILE,학생프로필,record_grade_band,학생생활기록부등급대,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,학생생활기록부 총점을 등급대로 환산한 값,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19936,TB_STUDENT_PROFILE,학생프로필,attendance_score,출결점수,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,출결 현황을 점수화한 값,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19937,TB_STUDENT_PROFILE,학생프로필,created_at,생성일시,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,프로필 생성 시각,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19938,TB_UNIVERSITY,대학교,univ_id,대학ID,대학 기본 마스터 정보를 관리하는 테이블,대학을 고유하게 식별하는 기본키,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19939,TB_UNIVERSITY,대학교,univ_code,대학코드,대학 기본 마스터 정보를 관리하는 테이블,대학 축약 코드,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19940,TB_UNIVERSITY,대학교,univ_name,대학명,대학 기본 마스터 정보를 관리하는 테이블,대학 공식 명칭,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19941,TB_UNIVERSITY,대학교,univ_type,대학구분,대학 기본 마스터 정보를 관리하는 테이블,국립/사립 등 대학 설립 구분,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19942,TB_UNIVERSITY,대학교,region,소재지,대학 기본 마스터 정보를 관리하는 테이블,대표 캠퍼스 기준 지역 정보,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19943,TB_UNIVERSITY,대학교,homepage_url,홈페이지URL,대학 기본 마스터 정보를 관리하는 테이블,대학 공식 홈페이지 주소,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19944,TB_UNIVERSITY,대학교,created_at,생성일시,대학 기본 마스터 정보를 관리하는 테이블,대학 정보 생성 시각,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19945,TB_DEPARTMENT,학과,dept_id,학과ID,대학별 학과/학부/전공 마스터를 관리하는 테이블,학과를 고유하게 식별하는 기본키,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19946,TB_DEPARTMENT,학과,univ_id,대학ID,대학별 학과/학부/전공 마스터를 관리하는 테이블,소속 대학을 참조하는 외래키,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19947,TB_DEPARTMENT,학과,dept_name,학과명,대학별 학과/학부/전공 마스터를 관리하는 테이블,학과 또는 학부 공식 명칭,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19948,TB_DEPARTMENT,학과,college_name,단과대학명,대학별 학과/학부/전공 마스터를 관리하는 테이블,소속 단과대학명,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19949,TB_DEPARTMENT,학과,major_field,전공계열,대학별 학과/학부/전공 마스터를 관리하는 테이블,학과가 속한 상위 전공 계열,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19950,TB_DEPARTMENT,학과,dept_type,학과유형,대학별 학과/학부/전공 마스터를 관리하는 테이블,학과/학부/전공 등 조직 유형,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19951,TB_ADMISSION_TYPE,전형유형,admission_id,전형ID,"학과별 모집 전형의 연도, 방식, 평가 요소를 정의하는 테이블",전형을 고유하게 식별하는 기본키,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19952,TB_ADMISSION_TYPE,전형유형,dept_id,학과ID,"학과별 모집 전형의 연도, 방식, 평가 요소를 정의하는 테이블",전형 대상 학과를 참조하는 외래키,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19953,TB_ADMISSION_TYPE,전형유형,univ_admission_year,대학_입시연도,"학과별 모집 전형의 연도, 방식, 평가 요소를 정의하는 테이블",전형이 적용되는 입시 연도,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19954,TB_ADMISSION_TYPE,전형유형,admission_type,입시유형,"학과별 모집 전형의 연도, 방식, 평가 요소를 정의하는 테이블",수시/정시 등 입시 구분,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19955,TB_ADMISSION_TYPE,전형유형,admission_name,전형명,"학과별 모집 전형의 연도, 방식, 평가 요소를 정의하는 테이블",대학이 사용하는 전형 공식 명칭,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19956,TB_ADMISSION_TYPE,전형유형,admission_method,전형방법,"학과별 모집 전형의 연도, 방식, 평가 요소를 정의하는 테이블",서류/면접 등 선발 방법 요약,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19957,TB_ADMISSION_TYPE,전형유형,recruit_cnt,모집인원,"학과별 모집 전형의 연도, 방식, 평가 요소를 정의하는 테이블",해당 전형의 모집 인원,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19958,TB_ADMISSION_TYPE,전형유형,doc_ratio,서류비중,"학과별 모집 전형의 연도, 방식, 평가 요소를 정의하는 테이블",서류 평가 비중,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19959,TB_ADMISSION_TYPE,전형유형,interview_ratio,면접비중,"학과별 모집 전형의 연도, 방식, 평가 요소를 정의하는 테이블",면접 평가 비중,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19960,TB_ADMISSION_TYPE,전형유형,csat_required,수능반영여부,"학과별 모집 전형의 연도, 방식, 평가 요소를 정의하는 테이블",수능최저 또는 수능 반영 여부 플래그,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19961,TB_ADMISSION_TYPE,전형유형,evaluation_focus,평가중점,"학과별 모집 전형의 연도, 방식, 평가 요소를 정의하는 테이블",전형에서 중요하게 보는 평가 포인트,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19962,TB_ADMISSION_TYPE,전형유형,key_traits,핵심인재상,"학과별 모집 전형의 연도, 방식, 평가 요소를 정의하는 테이블",대학이 기대하는 주요 인재 특성,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19963,TB_ADMISSION_TYPE,전형유형,source_doc,출처문서,"학과별 모집 전형의 연도, 방식, 평가 요소를 정의하는 테이블",전형 정보를 추출한 원문 파일 경로,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19964,TB_ADMISSION_CUTOFF,입시결과,cutoff_id,입결ID,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,입결 레코드를 고유하게 식별하는 기본키,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19965,TB_ADMISSION_CUTOFF,입시결과,admission_id,전형ID,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,대상 전형을 참조하는 외래키,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19966,TB_ADMISSION_CUTOFF,입시결과,cutoff_year,입결기준연도,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,입결 데이터 기준 연도,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19967,TB_ADMISSION_CUTOFF,입시결과,cutoff_50,50퍼센트컷,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,합격자 기준 50% 지점 등급,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19968,TB_ADMISSION_CUTOFF,입시결과,cutoff_70,70퍼센트컷,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,합격자 기준 70% 지점 등급,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19969,TB_ADMISSION_CUTOFF,입시결과,cutoff_80,80퍼센트컷,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,테스트용으로 추정 또는 계산한 80% 지점 등급,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19970,TB_ADMISSION_CUTOFF,입시결과,competition_ratio,경쟁률,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,전형 경쟁률,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19971,TB_ADMISSION_CUTOFF,입시결과,avg_grade,합격자평균등급,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,합격자 평균 등급,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19972,TB_ADMISSION_CUTOFF,입시결과,record_importance,학생생활기록부중요도,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,해당 전형에서 학생생활기록부 영향도 해석값,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19973,TB_ADMISSION_CUTOFF,입시결과,three_grade_possible,3등급지원가능성,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,내신 3등급권 학생의 지원 가능성 메모,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19974,TB_ADMISSION_CUTOFF,입시결과,support_notes,지원참고메모,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,지원 판단에 참고하는 추가 설명,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19975,TB_ADMISSION_CUTOFF,입시결과,grade_policy_note,등급반영메모,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,대학별 내신 반영 방식 메모,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19976,TB_ADMISSION_CUTOFF,입시결과,source_doc,출처문서,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,입결 정보를 추출한 원문 파일 경로,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19977,TB_ADMISSION_CUTOFF,입시결과,best_grade,worst_grade,전형별 입결 컷과 해석 메모를 저장하는 기준 테이블,합격 최저등급,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19978,TB_ACADEMIC_SCORE,내신성적,score_id,내신성적ID,학생의 학년/학기/시험별 과목 성적 상세를 저장하는 테이블,성적 레코드를 고유하게 식별하는 기본키,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19979,TB_ACADEMIC_SCORE,내신성적,student_id,학생ID,학생의 학년/학기/시험별 과목 성적 상세를 저장하는 테이블,대상 학생을 참조하는 외래키,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19980,TB_ACADEMIC_SCORE,내신성적,school_year,학년,학생의 학년/학기/시험별 과목 성적 상세를 저장하는 테이블,성적이 속한 학년,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19981,TB_ACADEMIC_SCORE,내신성적,semester,학기,학생의 학년/학기/시험별 과목 성적 상세를 저장하는 테이블,성적이 속한 학기,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19982,TB_ACADEMIC_SCORE,내신성적,exam_period,시험구분,학생의 학년/학기/시험별 과목 성적 상세를 저장하는 테이블,중간/기말 시험 구분,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19983,TB_ACADEMIC_SCORE,내신성적,subject_name,과목명,학생의 학년/학기/시험별 과목 성적 상세를 저장하는 테이블,과목명,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19984,TB_ACADEMIC_SCORE,내신성적,subject_cat,과목분류,학생의 학년/학기/시험별 과목 성적 상세를 저장하는 테이블,공통/탐구 등 과목 범주,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19985,TB_ACADEMIC_SCORE,내신성적,raw_score,원점수,학생의 학년/학기/시험별 과목 성적 상세를 저장하는 테이블,환산 또는 추정 원점수,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19986,TB_ACADEMIC_SCORE,내신성적,grade,등급,학생의 학년/학기/시험별 과목 성적 상세를 저장하는 테이블,과목 등급,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19987,TB_ACADEMIC_SCORE,내신성적,credit_hours,이수단위,학생의 학년/학기/시험별 과목 성적 상세를 저장하는 테이블,과목 이수 단위,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19988,TB_ACADEMIC_SCORE,내신성적,z_score,표준화점수Z,학생의 학년/학기/시험별 과목 성적 상세를 저장하는 테이블,동일 과목 내 상대 위치를 나타내는 z-score,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
19989,TB_CSAT_SCORE,모의고사,csat_id,모의고사ID,학생 내신 및 학생생활기록부 수준을 바탕으로 보강 생성한 모의 수능 성적 프로필 테이블,모의 수능 성적 레코드를 고유하게 식별하는 기본키,E:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260429.xlsx,2026-04-30 14:39:19,2026-04-30 14:39:19
