session_id,student_id,consultant_id,session_date,status,session_type,note,memo
17,17,,2026-04-24 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
18,18,,2026-04-25 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.",
19,19,,2026-04-26 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
20,20,,2026-04-27 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
21,21,,2026-04-28 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
22,22,,2026-04-22 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.",
23,23,,2026-04-23 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
24,24,,2026-04-24 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
25,25,,2026-04-25 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.",
26,26,,2026-04-26 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.",
27,27,,2026-04-27 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
28,28,,2026-04-28 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.",
29,29,,2026-04-22 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
30,30,,2026-04-23 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
31,31,,2026-04-24 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 보통으로 반영.",
32,32,,2026-04-25 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.",
33,33,,2026-04-26 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
34,34,,2026-04-27 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.",
35,35,,2026-04-28 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.",
36,36,,2026-04-22 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
37,37,,2026-04-23 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
38,38,,2026-04-24 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
39,39,,2026-04-25 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
40,40,,2026-04-26 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
41,41,,2026-04-27 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
42,42,,2026-04-28 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
43,43,,2026-04-22 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
44,44,,2026-04-23 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
45,45,,2026-04-24 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
46,46,,2026-04-25 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
47,47,,2026-04-26 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
48,48,,2026-04-27 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
49,49,,2026-04-28 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
50,50,,2026-04-22 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
51,51,,2026-04-23 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
52,52,,2026-04-24 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
53,53,,2026-04-25 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.",
54,54,,2026-04-26 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
55,55,,2026-04-27 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 보통으로 반영.",
56,56,,2026-04-28 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
57,57,,2026-04-22 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
58,58,,2026-04-23 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
59,59,,2026-04-24 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
60,60,,2026-04-25 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
61,61,,2026-04-26 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 6건, 생기부 중요도는 절대적으로 반영.",
62,62,,2026-04-27 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
63,63,,2026-04-28 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.",
64,64,,2026-04-22 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
65,65,,2026-04-23 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.",
66,66,,2026-04-24 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
67,67,,2026-04-25 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
68,68,,2026-04-26 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
69,69,,2026-04-27 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
70,70,,2026-04-28 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
71,71,,2026-04-22 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 6건, 생기부 중요도는 절대적으로 반영.",
72,72,,2026-04-23 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
73,73,,2026-04-24 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
74,74,,2026-04-25 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.",
75,75,,2026-04-26 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
76,76,,2026-04-27 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
77,77,,2026-04-28 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
78,78,,2026-04-22 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
79,79,,2026-04-23 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
80,80,,2026-04-24 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
81,81,,2026-04-25 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
82,82,,2026-04-26 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
83,83,,2026-04-27 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.",
84,84,,2026-04-28 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.",
85,85,,2026-04-22 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 보통으로 반영.",
86,86,,2026-04-23 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
87,87,,2026-04-24 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
88,88,,2026-04-25 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
89,89,,2026-04-26 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
90,90,,2026-04-27 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
91,91,,2026-04-28 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 보통으로 반영.",
92,92,,2026-04-22 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.",
93,93,,2026-04-23 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.",
94,94,,2026-04-24 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.",
95,95,,2026-04-25 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.",
96,96,,2026-04-26 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
97,97,,2026-04-27 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
98,98,,2026-04-28 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
99,99,,2026-04-22 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
100,100,,2026-04-23 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
