analysis_id,student_id,analysis_type,pass_prob,score_gap,model_version,summary_text,analyzed_at,analysis_summary,record_strength,fit_keyword_count,analysis_version,created_at
21,21,종합지원분석,0.84,-1.156,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
22,22,종합지원분석,0.835,-0.669,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.
기록강점: 보완필요 | 키워드일치: 1",2026-04-22 09:30:00,,,,,
23,23,종합지원분석,0.855,-1.631,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
24,24,종합지원분석,0.848,-1.428,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
25,25,종합지원분석,0.863,-1.919,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.
기록강점: 최상 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
26,26,종합지원분석,0.86,-1.501,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.
기록강점: 보완필요 | 키워드일치: 1",2026-04-22 09:30:00,,,,,
27,27,종합지원분석,0.852,-1.545,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
28,28,종합지원분석,0.852,-1.239,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.
기록강점: 보완필요 | 키워드일치: 1",2026-04-22 09:30:00,,,,,
29,29,종합지원분석,0.849,-1.442,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
30,30,종합지원분석,0.407,0.163,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 최상 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
31,31,종합지원분석,0.844,-0.979,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 보통으로 반영.
기록강점: 보완필요 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
32,32,종합지원분석,0.821,-0.209,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.
기록강점: 보완필요 | 키워드일치: 1",2026-04-22 09:30:00,,,,,
33,33,종합지원분석,0.665,-0.23,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
34,34,종합지원분석,0.856,-1.688,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
35,35,종합지원분석,0.846,-1.363,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
36,36,종합지원분석,0.696,-0.296,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
37,37,종합지원분석,0.282,0.387,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
38,38,종합지원분석,0.606,-0.1,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
39,39,종합지원분석,0.597,-0.081,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 우수 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
40,40,종합지원분석,0.658,-0.214,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
41,41,종합지원분석,0.86,-1.801,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
42,42,종합지원분석,0.593,-0.072,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
43,43,종합지원분석,0.72,-0.348,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
44,44,종합지원분석,0.29,0.342,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
45,45,종합지원분석,0.454,0.095,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
46,46,종합지원분석,0.516,0.006,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
47,47,종합지원분석,0.428,0.132,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
48,48,종합지원분석,0.852,-1.549,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
49,49,종합지원분석,0.684,-0.27,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
50,50,종합지원분석,0.239,0.627,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
51,51,종합지원분석,0.83,-0.821,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
52,52,종합지원분석,0.825,-0.651,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
53,53,종합지원분석,0.836,-1.028,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
54,54,종합지원분석,0.823,-0.57,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
55,55,종합지원분석,0.829,-0.475,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 보통으로 반영.
기록강점: 보통 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
56,56,종합지원분석,0.773,-0.464,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 우수 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
57,57,종합지원분석,0.687,-0.276,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
58,58,종합지원분석,0.381,0.2,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
59,59,종합지원분석,0.834,-0.944,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 우수 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
60,60,종합지원분석,0.264,0.49,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
61,61,종합지원분석,0.858,-1.734,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 6건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 6",2026-04-22 09:30:00,,,,,
62,62,종합지원분석,0.823,-0.584,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 우수 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
63,63,종합지원분석,0.839,-1.118,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
64,64,종합지원분석,0.634,-0.162,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
65,65,종합지원분석,0.852,-1.245,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.
기록강점: 보통 | 키워드일치: 1",2026-04-22 09:30:00,,,,,
66,66,종합지원분석,0.821,-0.512,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
67,67,종합지원분석,0.471,0.07,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
68,68,종합지원분석,0.823,-0.592,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
69,69,종합지원분석,0.834,-0.96,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
70,70,종합지원분석,0.245,0.591,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
71,71,종합지원분석,0.849,-1.444,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 6건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 6",2026-04-22 09:30:00,,,,,
72,72,종합지원분석,0.599,-0.086,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
73,73,종합지원분석,0.223,0.718,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
74,74,종합지원분석,0.297,0.303,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
75,75,종합지원분석,0.253,0.549,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
76,76,종합지원분석,0.562,-0.004,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
77,77,종합지원분석,0.695,-0.295,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
78,78,종합지원분석,0.613,-0.115,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
79,79,종합지원분석,0.861,-1.848,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
80,80,종합지원분석,0.692,-0.288,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
81,81,종합지원분석,0.831,-0.862,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 최상 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
82,82,종합지원분석,0.382,0.199,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
83,83,종합지원분석,0.646,-0.188,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
84,84,종합지원분석,0.837,-1.058,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.
기록강점: 우수 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
85,85,종합지원분석,0.861,-1.535,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 보통으로 반영.
기록강점: 보통 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
86,86,종합지원분석,0.606,-0.101,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
87,87,종합지원분석,0.741,-0.395,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 최상 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
88,88,종합지원분석,0.274,0.431,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 우수 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
89,89,종합지원분석,0.856,-1.664,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
90,90,종합지원분석,0.845,-1.315,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
91,91,종합지원분석,0.837,-0.735,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 보통으로 반영.
기록강점: 보통 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
92,92,종합지원분석,0.841,-0.861,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.
기록강점: 보완필요 | 키워드일치: 1",2026-04-22 09:30:00,,,,,
93,93,종합지원분석,0.827,-0.405,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.
기록강점: 보통 | 키워드일치: 1",2026-04-22 09:30:00,,,,,
94,94,종합지원분석,0.828,-0.449,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.
기록강점: 보완필요 | 키워드일치: 1",2026-04-22 09:30:00,,,,,
95,95,종합지원분석,0.239,0.628,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
96,96,종합지원분석,0.846,-1.347,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 우수 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
97,97,종합지원분석,0.651,-0.199,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
98,98,종합지원분석,0.861,-1.855,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 최상 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
99,99,종합지원분석,0.625,-0.141,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 보통 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
100,100,종합지원분석,0.836,-1.01,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
101,101,score_snapshot,,,v1.0,score snapshot saved at 2026-04-30T15:23:08.104782+00:00,2026-04-30T15:23:08.104782+00:00,,,,,
102,101,score_snapshot,,,v1.0,score snapshot saved at 2026-04-30T15:23:15.990104+00:00,2026-04-30T15:23:15.990104+00:00,,,,,
103,100,score_snapshot,,,v1.0,score snapshot saved at 2026-04-30T15:33:12.607328+00:00,2026-04-30T15:33:12.607328+00:00,,,,,
