score_id,student_id,school_year,semester,exam_period,subject_name,subject_cat,raw_score,grade,credit_hours,z_score
79,3,,1-2-기말,,영어,공통,90.0,2,4.0,1.5
80,3,,1-2-기말,,사회탐구,탐구,90.0,2,3.0,1.534
81,3,,2-1-중간,,국어,공통,100.0,,4.0,
82,3,,2-1-중간,,수학,공통,100.0,,4.0,
83,3,,2-1-중간,,영어,공통,100.0,,4.0,
84,3,,2-1-중간,,사회탐구,탐구,100.0,,3.0,
85,3,,2-1-기말,,국어,공통,100.0,,4.0,
86,3,,2-1-기말,,수학,공통,100.0,,4.0,
87,3,,2-1-기말,,영어,공통,100.0,,4.0,
88,3,,2-1-기말,,사회탐구,탐구,100.0,,3.0,
89,3,,3-1-중간,,국어,공통,100.0,,4.0,
90,3,,3-1-중간,,수학,공통,100.0,,4.0,
91,3,,3-1-중간,,영어,공통,100.0,,4.0,
92,3,,3-1-중간,,사회탐구,탐구,100.0,,3.0,
93,3,,3-1-기말,,국어,공통,100.0,,4.0,
94,3,,3-1-기말,,수학,공통,100.0,,4.0,
95,3,,3-1-기말,,영어,공통,100.0,,4.0,
96,3,,3-1-기말,,사회탐구,탐구,100.0,,3.0,
97,4,,1-1-중간,,국어,공통,68.0,4,4.0,-0.849
98,4,,1-1-중간,,수학,공통,68.0,4,4.0,-0.788
99,4,,1-1-중간,,영어,공통,68.0,4,4.0,-0.808
100,4,,1-1-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
101,4,,1-1-기말,,국어,공통,68.0,4,4.0,-0.849
102,4,,1-1-기말,,수학,공통,68.0,4,4.0,-0.788
103,4,,1-1-기말,,영어,공통,68.0,4,4.0,-0.808
104,4,,1-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
105,4,,1-2-중간,,국어,공통,79.0,3,4.0,0.35
106,4,,1-2-중간,,수학,공통,79.0,3,4.0,0.37
107,4,,1-2-중간,,영어,공통,79.0,3,4.0,0.346
108,4,,1-2-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
109,4,,1-2-기말,,국어,공통,68.0,4,4.0,-0.849
110,4,,1-2-기말,,수학,공통,68.0,4,4.0,-0.788
111,4,,1-2-기말,,영어,공통,68.0,4,4.0,-0.808
112,4,,1-2-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
113,4,,2-1-중간,,국어,공통,100.0,,4.0,
114,4,,2-1-중간,,수학,공통,100.0,,4.0,
115,4,,2-1-중간,,영어,공통,100.0,,4.0,
116,4,,2-1-중간,,사회탐구,탐구,100.0,,3.0,
117,4,,2-1-기말,,국어,공통,100.0,,4.0,
118,4,,2-1-기말,,수학,공통,100.0,,4.0,
119,4,,2-1-기말,,영어,공통,100.0,,4.0,
120,4,,2-1-기말,,사회탐구,탐구,100.0,,3.0,
121,4,,3-1-중간,,국어,공통,100.0,,4.0,
122,4,,3-1-중간,,수학,공통,100.0,,4.0,
123,4,,3-1-중간,,영어,공통,100.0,,4.0,
124,4,,3-1-중간,,사회탐구,탐구,100.0,,3.0,
125,4,,3-1-기말,,국어,공통,100.0,,4.0,
126,4,,3-1-기말,,수학,공통,100.0,,4.0,
127,4,,3-1-기말,,영어,공통,100.0,,4.0,
128,4,,3-1-기말,,사회탐구,탐구,100.0,,3.0,
129,5,,1-1-중간,,국어,공통,79.0,3,4.0,0.35
130,5,,1-1-중간,,수학,공통,90.0,2,4.0,1.529
131,5,,1-1-중간,,영어,공통,79.0,3,4.0,0.346
132,5,,1-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
133,5,,1-1-기말,,국어,공통,90.0,2,4.0,1.549
134,5,,1-1-기말,,수학,공통,90.0,2,4.0,1.529
135,5,,1-1-기말,,영어,공통,90.0,2,4.0,1.5
136,5,,1-1-기말,,사회탐구,탐구,90.0,2,3.0,1.534
137,5,,1-2-중간,,국어,공통,90.0,2,4.0,1.549
138,5,,1-2-중간,,수학,공통,90.0,2,4.0,1.529
139,5,,1-2-중간,,영어,공통,90.0,2,4.0,1.5
140,5,,1-2-중간,,사회탐구,탐구,90.0,2,3.0,1.534
141,5,,1-2-기말,,국어,공통,90.0,2,4.0,1.549
142,5,,1-2-기말,,수학,공통,79.0,3,4.0,0.37
143,5,,1-2-기말,,영어,공통,79.0,3,4.0,0.346
144,5,,1-2-기말,,사회탐구,탐구,90.0,2,3.0,1.534
145,5,,2-1-중간,,국어,공통,100.0,,4.0,
146,5,,2-1-중간,,수학,공통,100.0,,4.0,
147,5,,2-1-중간,,영어,공통,100.0,,4.0,
148,5,,2-1-중간,,사회탐구,탐구,100.0,,3.0,
149,5,,2-1-기말,,국어,공통,100.0,,4.0,
150,5,,2-1-기말,,수학,공통,100.0,,4.0,
151,5,,2-1-기말,,영어,공통,100.0,,4.0,
152,5,,2-1-기말,,사회탐구,탐구,100.0,,3.0,
153,5,,3-1-중간,,국어,공통,100.0,,4.0,
154,5,,3-1-중간,,수학,공통,100.0,,4.0,
155,5,,3-1-중간,,영어,공통,100.0,,4.0,
156,5,,3-1-중간,,사회탐구,탐구,100.0,,3.0,
157,5,,3-1-기말,,국어,공통,100.0,,4.0,
158,5,,3-1-기말,,수학,공통,100.0,,4.0,
159,5,,3-1-기말,,영어,공통,100.0,,4.0,
160,5,,3-1-기말,,사회탐구,탐구,100.0,,3.0,
161,6,,1-1-중간,,국어,공통,68.0,4,4.0,-0.849
162,6,,1-1-중간,,수학,공통,79.0,3,4.0,0.37
163,6,,1-1-중간,,영어,공통,68.0,4,4.0,-0.808
164,6,,1-1-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
165,6,,1-1-기말,,국어,공통,68.0,4,4.0,-0.849
166,6,,1-1-기말,,수학,공통,68.0,4,4.0,-0.788
167,6,,1-1-기말,,영어,공통,68.0,4,4.0,-0.808
168,6,,1-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
169,6,,1-2-중간,,국어,공통,68.0,4,4.0,-0.849
170,6,,1-2-중간,,수학,공통,68.0,4,4.0,-0.788
171,6,,1-2-중간,,영어,공통,68.0,4,4.0,-0.808
172,6,,1-2-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
173,6,,1-2-기말,,국어,공통,79.0,3,4.0,0.35
174,6,,1-2-기말,,수학,공통,68.0,4,4.0,-0.788
175,6,,1-2-기말,,영어,공통,79.0,3,4.0,0.346
176,6,,1-2-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
177,6,,2-1-중간,,국어,공통,68.0,4,4.0,-0.849
178,6,,2-1-중간,,수학,공통,68.0,4,4.0,-0.788
179,6,,2-1-중간,,영어,공통,68.0,4,4.0,-0.808
180,6,,2-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
181,6,,2-1-기말,,국어,공통,68.0,4,4.0,-0.849
182,6,,2-1-기말,,수학,공통,68.0,4,4.0,-0.788
183,6,,2-1-기말,,영어,공통,79.0,3,4.0,0.346
184,6,,2-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
185,6,,3-1-중간,,국어,공통,79.0,3,4.0,0.35
186,6,,3-1-중간,,수학,공통,68.0,4,4.0,-0.788
187,6,,3-1-중간,,영어,공통,68.0,4,4.0,-0.808
188,6,,3-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
189,6,,3-1-기말,,국어,공통,68.0,4,4.0,-0.849
190,6,,3-1-기말,,수학,공통,68.0,4,4.0,-0.788
191,6,,3-1-기말,,영어,공통,68.0,4,4.0,-0.808
192,6,,3-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
193,7,,1-1-중간,,국어,공통,79.0,3,4.0,0.35
194,7,,1-1-중간,,수학,공통,79.0,3,4.0,0.37
195,7,,1-1-중간,,영어,공통,68.0,4,4.0,-0.808
196,7,,1-1-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
197,7,,1-1-기말,,국어,공통,79.0,3,4.0,0.35
198,7,,1-1-기말,,수학,공통,79.0,3,4.0,0.37
199,7,,1-1-기말,,영어,공통,68.0,4,4.0,-0.808
200,7,,1-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
201,7,,1-2-중간,,국어,공통,79.0,3,4.0,0.35
202,7,,1-2-중간,,수학,공통,68.0,4,4.0,-0.788
203,7,,1-2-중간,,영어,공통,79.0,3,4.0,0.346
204,7,,1-2-중간,,사회탐구,탐구,79.0,3,3.0,0.377
205,7,,1-2-기말,,국어,공통,79.0,3,4.0,0.35
206,7,,1-2-기말,,수학,공통,68.0,4,4.0,-0.788
207,7,,1-2-기말,,영어,공통,79.0,3,4.0,0.346
208,7,,1-2-기말,,사회탐구,탐구,79.0,3,3.0,0.377
209,7,,2-1-중간,,국어,공통,100.0,,4.0,
210,7,,2-1-중간,,수학,공통,100.0,,4.0,
211,7,,2-1-중간,,영어,공통,100.0,,4.0,
212,7,,2-1-중간,,사회탐구,탐구,100.0,,3.0,
213,7,,2-1-기말,,국어,공통,100.0,,4.0,
214,7,,2-1-기말,,수학,공통,100.0,,4.0,
215,7,,2-1-기말,,영어,공통,100.0,,4.0,
216,7,,2-1-기말,,사회탐구,탐구,100.0,,3.0,
217,7,,3-1-중간,,국어,공통,100.0,,4.0,
218,7,,3-1-중간,,수학,공통,100.0,,4.0,
219,7,,3-1-중간,,영어,공통,100.0,,4.0,
220,7,,3-1-중간,,사회탐구,탐구,100.0,,3.0,
221,7,,3-1-기말,,국어,공통,100.0,,4.0,
222,7,,3-1-기말,,수학,공통,100.0,,4.0,
223,7,,3-1-기말,,영어,공통,100.0,,4.0,
224,7,,3-1-기말,,사회탐구,탐구,100.0,,3.0,
225,8,,1-1-중간,,국어,공통,90.0,2,4.0,1.549
226,8,,1-1-중간,,수학,공통,79.0,3,4.0,0.37
227,8,,1-1-중간,,영어,공통,90.0,2,4.0,1.5
228,8,,1-1-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
229,8,,1-1-기말,,국어,공통,79.0,3,4.0,0.35
230,8,,1-1-기말,,수학,공통,90.0,2,4.0,1.529
231,8,,1-1-기말,,영어,공통,79.0,3,4.0,0.346
232,8,,1-1-기말,,사회탐구,탐구,79.0,3,3.0,0.377
233,8,,1-2-중간,,국어,공통,79.0,3,4.0,0.35
234,8,,1-2-중간,,수학,공통,90.0,2,4.0,1.529
235,8,,1-2-중간,,영어,공통,68.0,4,4.0,-0.808
236,8,,1-2-중간,,사회탐구,탐구,79.0,3,3.0,0.377
237,8,,1-2-기말,,국어,공통,79.0,3,4.0,0.35
238,8,,1-2-기말,,수학,공통,79.0,3,4.0,0.37
239,8,,1-2-기말,,영어,공통,79.0,3,4.0,0.346
240,8,,1-2-기말,,사회탐구,탐구,79.0,3,3.0,0.377
241,8,,2-1-중간,,국어,공통,90.0,2,4.0,1.549
242,8,,2-1-중간,,수학,공통,79.0,3,4.0,0.37
243,8,,2-1-중간,,영어,공통,79.0,3,4.0,0.346
244,8,,2-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
245,8,,2-1-기말,,국어,공통,79.0,3,4.0,0.35
246,8,,2-1-기말,,수학,공통,79.0,3,4.0,0.37
247,8,,2-1-기말,,영어,공통,79.0,3,4.0,0.346
248,8,,2-1-기말,,사회탐구,탐구,90.0,2,3.0,1.534
249,8,,3-1-중간,,국어,공통,79.0,3,4.0,0.35
250,8,,3-1-중간,,수학,공통,79.0,3,4.0,0.37
251,8,,3-1-중간,,영어,공통,79.0,3,4.0,0.346
252,8,,3-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
253,8,,3-1-기말,,국어,공통,79.0,3,4.0,0.35
254,8,,3-1-기말,,수학,공통,79.0,3,4.0,0.37
255,8,,3-1-기말,,영어,공통,79.0,3,4.0,0.346
256,8,,3-1-기말,,사회탐구,탐구,79.0,3,3.0,0.377
257,9,,1-1-중간,,국어,공통,79.0,3,4.0,0.35
258,9,,1-1-중간,,수학,공통,68.0,4,4.0,-0.788
259,9,,1-1-중간,,영어,공통,68.0,4,4.0,-0.808
260,9,,1-1-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
261,9,,1-1-기말,,국어,공통,68.0,4,4.0,-0.849
262,9,,1-1-기말,,수학,공통,79.0,3,4.0,0.37
263,9,,1-1-기말,,영어,공통,68.0,4,4.0,-0.808
264,9,,1-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
265,9,,1-2-중간,,국어,공통,68.0,4,4.0,-0.849
266,9,,1-2-중간,,수학,공통,68.0,4,4.0,-0.788
267,9,,1-2-중간,,영어,공통,68.0,4,4.0,-0.808
268,9,,1-2-중간,,사회탐구,탐구,79.0,3,3.0,0.377
269,9,,1-2-기말,,국어,공통,68.0,4,4.0,-0.849
270,9,,1-2-기말,,수학,공통,68.0,4,4.0,-0.788
271,9,,1-2-기말,,영어,공통,68.0,4,4.0,-0.808
272,9,,1-2-기말,,사회탐구,탐구,79.0,3,3.0,0.377
273,9,,2-1-중간,,국어,공통,68.0,4,4.0,-0.849
274,9,,2-1-중간,,수학,공통,68.0,4,4.0,-0.788
275,9,,2-1-중간,,영어,공통,79.0,3,4.0,0.346
276,9,,2-1-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
277,9,,2-1-기말,,국어,공통,68.0,4,4.0,-0.849
278,9,,2-1-기말,,수학,공통,68.0,4,4.0,-0.788
279,9,,2-1-기말,,영어,공통,68.0,4,4.0,-0.808
280,9,,2-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
281,9,,3-1-중간,,국어,공통,68.0,4,4.0,-0.849
282,9,,3-1-중간,,수학,공통,68.0,4,4.0,-0.788
283,9,,3-1-중간,,영어,공통,79.0,3,4.0,0.346
284,9,,3-1-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
285,9,,3-1-기말,,국어,공통,68.0,4,4.0,-0.849
286,9,,3-1-기말,,수학,공통,68.0,4,4.0,-0.788
287,9,,3-1-기말,,영어,공통,68.0,4,4.0,-0.808
288,9,,3-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
289,10,,1-1-중간,,국어,공통,68.0,4,4.0,-0.849
290,10,,1-1-중간,,수학,공통,57.0,5,4.0,-1.946
291,10,,1-1-중간,,영어,공통,68.0,4,4.0,-0.808
292,10,,1-1-중간,,사회탐구,탐구,57.0,5,3.0,-1.936
293,10,,1-1-기말,,국어,공통,68.0,4,4.0,-0.849
294,10,,1-1-기말,,수학,공통,57.0,5,4.0,-1.946
295,10,,1-1-기말,,영어,공통,68.0,4,4.0,-0.808
296,10,,1-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
297,10,,1-2-중간,,국어,공통,57.0,5,4.0,-2.049
298,10,,1-2-중간,,수학,공통,57.0,5,4.0,-1.946
299,10,,1-2-중간,,영어,공통,68.0,4,4.0,-0.808
300,10,,1-2-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
301,10,,1-2-기말,,국어,공통,57.0,5,4.0,-2.049
302,10,,1-2-기말,,수학,공통,68.0,4,4.0,-0.788
303,10,,1-2-기말,,영어,공통,68.0,4,4.0,-0.808
304,10,,1-2-기말,,사회탐구,탐구,57.0,5,3.0,-1.936
305,10,,2-1-중간,,국어,공통,68.0,4,4.0,-0.849
306,10,,2-1-중간,,수학,공통,57.0,5,4.0,-1.946
307,10,,2-1-중간,,영어,공통,68.0,4,4.0,-0.808
308,10,,2-1-중간,,사회탐구,탐구,57.0,5,3.0,-1.936
309,10,,2-1-기말,,국어,공통,68.0,4,4.0,-0.849
310,10,,2-1-기말,,수학,공통,57.0,5,4.0,-1.946
311,10,,2-1-기말,,영어,공통,68.0,4,4.0,-0.808
312,10,,2-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
313,10,,3-1-중간,,국어,공통,57.0,5,4.0,-2.049
314,10,,3-1-중간,,수학,공통,68.0,4,4.0,-0.788
315,10,,3-1-중간,,영어,공통,68.0,4,4.0,-0.808
316,10,,3-1-중간,,사회탐구,탐구,57.0,5,3.0,-1.936
317,10,,3-1-기말,,국어,공통,68.0,4,4.0,-0.849
318,10,,3-1-기말,,수학,공통,68.0,4,4.0,-0.788
319,10,,3-1-기말,,영어,공통,57.0,5,4.0,-1.962
320,10,,3-1-기말,,사회탐구,탐구,57.0,5,3.0,-1.936
321,11,,1-1-중간,,국어,공통,90.0,2,4.0,1.549
322,11,,1-1-중간,,수학,공통,90.0,2,4.0,1.529
323,11,,1-1-중간,,영어,공통,90.0,2,4.0,1.5
324,11,,1-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
325,11,,1-1-기말,,국어,공통,79.0,3,4.0,0.35
326,11,,1-1-기말,,수학,공통,79.0,3,4.0,0.37
327,11,,1-1-기말,,영어,공통,90.0,2,4.0,1.5
328,11,,1-1-기말,,사회탐구,탐구,90.0,2,3.0,1.534
329,11,,1-2-중간,,국어,공통,79.0,3,4.0,0.35
330,11,,1-2-중간,,수학,공통,79.0,3,4.0,0.37
331,11,,1-2-중간,,영어,공통,79.0,3,4.0,0.346
332,11,,1-2-중간,,사회탐구,탐구,79.0,3,3.0,0.377
333,11,,1-2-기말,,국어,공통,79.0,3,4.0,0.35
334,11,,1-2-기말,,수학,공통,90.0,2,4.0,1.529
335,11,,1-2-기말,,영어,공통,79.0,3,4.0,0.346
336,11,,1-2-기말,,사회탐구,탐구,90.0,2,3.0,1.534
337,11,,2-1-중간,,국어,공통,79.0,3,4.0,0.35
338,11,,2-1-중간,,수학,공통,79.0,3,4.0,0.37
339,11,,2-1-중간,,영어,공통,90.0,2,4.0,1.5
340,11,,2-1-중간,,사회탐구,탐구,90.0,2,3.0,1.534
341,11,,2-1-기말,,국어,공통,90.0,2,4.0,1.549
342,11,,2-1-기말,,수학,공통,79.0,3,4.0,0.37
343,11,,2-1-기말,,영어,공통,90.0,2,4.0,1.5
344,11,,2-1-기말,,사회탐구,탐구,79.0,3,3.0,0.377
345,11,,3-1-중간,,국어,공통,79.0,3,4.0,0.35
346,11,,3-1-중간,,수학,공통,90.0,2,4.0,1.529
347,11,,3-1-중간,,영어,공통,79.0,3,4.0,0.346
348,11,,3-1-중간,,사회탐구,탐구,90.0,2,3.0,1.534
349,11,,3-1-기말,,국어,공통,79.0,3,4.0,0.35
350,11,,3-1-기말,,수학,공통,79.0,3,4.0,0.37
351,11,,3-1-기말,,영어,공통,79.0,3,4.0,0.346
352,11,,3-1-기말,,사회탐구,탐구,90.0,2,3.0,1.534
353,12,,1-1-중간,,국어,공통,90.0,2,4.0,1.549
354,12,,1-1-중간,,수학,공통,90.0,2,4.0,1.529
355,12,,1-1-중간,,영어,공통,90.0,2,4.0,1.5
356,12,,1-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
357,12,,1-1-기말,,국어,공통,79.0,3,4.0,0.35
358,12,,1-1-기말,,수학,공통,90.0,2,4.0,1.529
359,12,,1-1-기말,,영어,공통,79.0,3,4.0,0.346
360,12,,1-1-기말,,사회탐구,탐구,79.0,3,3.0,0.377
361,12,,1-2-중간,,국어,공통,79.0,3,4.0,0.35
362,12,,1-2-중간,,수학,공통,90.0,2,4.0,1.529
363,12,,1-2-중간,,영어,공통,90.0,2,4.0,1.5
364,12,,1-2-중간,,사회탐구,탐구,79.0,3,3.0,0.377
365,12,,1-2-기말,,국어,공통,79.0,3,4.0,0.35
366,12,,1-2-기말,,수학,공통,79.0,3,4.0,0.37
367,12,,1-2-기말,,영어,공통,79.0,3,4.0,0.346
368,12,,1-2-기말,,사회탐구,탐구,79.0,3,3.0,0.377
369,12,,2-1-중간,,국어,공통,90.0,2,4.0,1.549
370,12,,2-1-중간,,수학,공통,90.0,2,4.0,1.529
371,12,,2-1-중간,,영어,공통,90.0,2,4.0,1.5
372,12,,2-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
373,12,,2-1-기말,,국어,공통,79.0,3,4.0,0.35
374,12,,2-1-기말,,수학,공통,79.0,3,4.0,0.37
375,12,,2-1-기말,,영어,공통,79.0,3,4.0,0.346
376,12,,2-1-기말,,사회탐구,탐구,90.0,2,3.0,1.534
377,12,,3-1-중간,,국어,공통,90.0,2,4.0,1.549
378,12,,3-1-중간,,수학,공통,90.0,2,4.0,1.529
379,12,,3-1-중간,,영어,공통,79.0,3,4.0,0.346
380,12,,3-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
381,12,,3-1-기말,,국어,공통,79.0,3,4.0,0.35
382,12,,3-1-기말,,수학,공통,79.0,3,4.0,0.37
383,12,,3-1-기말,,영어,공통,90.0,2,4.0,1.5
384,12,,3-1-기말,,사회탐구,탐구,79.0,3,3.0,0.377
385,13,,1-1-중간,,국어,공통,57.0,5,4.0,-2.049
386,13,,1-1-중간,,수학,공통,57.0,5,4.0,-1.946
387,13,,1-1-중간,,영어,공통,57.0,5,4.0,-1.962
388,13,,1-1-중간,,사회탐구,탐구,57.0,5,3.0,-1.936
389,13,,1-1-기말,,국어,공통,68.0,4,4.0,-0.849
390,13,,1-1-기말,,수학,공통,57.0,5,4.0,-1.946
391,13,,1-1-기말,,영어,공통,68.0,4,4.0,-0.808
392,13,,1-1-기말,,사회탐구,탐구,57.0,5,3.0,-1.936
393,13,,1-2-중간,,국어,공통,57.0,5,4.0,-2.049
394,13,,1-2-중간,,수학,공통,57.0,5,4.0,-1.946
395,13,,1-2-중간,,영어,공통,57.0,5,4.0,-1.962
396,13,,1-2-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
397,13,,1-2-기말,,국어,공통,57.0,5,4.0,-2.049
398,13,,1-2-기말,,수학,공통,68.0,4,4.0,-0.788
399,13,,1-2-기말,,영어,공통,57.0,5,4.0,-1.962
400,13,,1-2-기말,,사회탐구,탐구,57.0,5,3.0,-1.936
401,13,,2-1-중간,,국어,공통,68.0,4,4.0,-0.849
402,13,,2-1-중간,,수학,공통,57.0,5,4.0,-1.946
403,13,,2-1-중간,,영어,공통,68.0,4,4.0,-0.808
404,13,,2-1-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
405,13,,2-1-기말,,국어,공통,57.0,5,4.0,-2.049
406,13,,2-1-기말,,수학,공통,68.0,4,4.0,-0.788
407,13,,2-1-기말,,영어,공통,68.0,4,4.0,-0.808
408,13,,2-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
409,13,,3-1-중간,,국어,공통,68.0,4,4.0,-0.849
410,13,,3-1-중간,,수학,공통,57.0,5,4.0,-1.946
411,13,,3-1-중간,,영어,공통,57.0,5,4.0,-1.962
